frame,angry,disgust,fear,happy,neutral,sad,surprise,x,y,width,height
0,1,0,0,0,0,0,0,285,3,43,43
0,1,0,0,0,0,0,0,182,13,40,40
0,1,0,0,0,0,0,0,257,88,58,58
0,1,0,0,0,0,0,0,224,32,55,55
0,1,0,0,0,0,0,0,24,90,56,56
0,1,0,0,0,0,0,0,32,193,55,55
0,1,0,0,0,0,0,0,149,108,54,54
0,1,0,0,0,0,0,0,370,170,56,56
0,1,0,0,0,0,0,0,211,184,64,64
0,1,0,0,0,0,0,0,354,22,62,62
0,1,0,0,0,0,0,0,485,35,54,54
0,1,0,0,0,0,0,0,436,88,64,64
0,1,0,0,0,0,0,0,534,139,68,68
100,1,0,0,0,0,0,0,222,34,54,54
100,1,0,0,0,0,0,0,75,9,51,51
100,1,0,0,0,0,0,0,453,0,34,34
100,1,0,0,0,0,0,0,14,94,58,58
100,1,0,0,0,0,0,0,174,6,40,40
100,1,0,0,0,0,0,0,241,94,58,58
100,1,0,0,0,0,0,0,128,134,49,49
100,1,0,0,0,0,0,0,327,32,57,57
100,1,0,0,0,0,0,0,416,97,61,61
100,1,0,0,0,0,0,0,43,198,58,58
100,1,0,0,0,0,0,0,202,199,65,65
100,1,0,0,0,0,0,0,470,36,58,58
100,1,0,0,0,0,0,0,506,203,57,57
100,1,0,0,0,0,0,0,370,171,62,62
100,1,0,0,0,0,0,0,552,167,70,70
100,1,0,0,0,0,0,0,548,220,74,74
200,1,0,0,0,0,0,0,197,20,35,35
200,1,0,0,0,0,0,0,269,7,41,41
200,1,0,0,0,0,0,0,246,97,56,56
200,1,0,0,0,0,0,0,199,199,58,58
200,1,0,0,0,0,0,0,225,36,57,57
200,1,0,0,0,0,0,0,137,131,48,48
200,1,0,0,0,0,0,0,43,209,53,53
200,1,0,0,0,0,0,0,13,96,58,58
200,1,0,0,0,0,0,0,39,28,53,53
200,1,0,0,0,0,0,0,332,34,56,56
200,1,0,0,0,0,0,0,322,69,75,75
200,1,0,0,0,0,0,0,421,94,64,64
200,1,0,0,0,0,0,0,545,171,70,70
200,1,0,0,0,0,0,0,363,195,56,56
200,1,0,0,0,0,0,0,478,39,57,57
200,1,0,0,0,0,0,0,579,85,59,59
